Date : 2025-03-27 14:53:12
Directory : c:\Users\louis\SiteVitrineViadex
Total : 114 files,  15069 codes, 96 comments, 1047 blanks, all 16212 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\louis\SiteVitrineViadex\src\components\formation\WhyTrainInAI.tsx          | TypeScript JSX     |         35 |          0 |          7 |         42 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\AboutSection.tsx               | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\BlogSection.tsx                | TypeScript JSX     |        135 |          2 |         10 |        147 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\CTASection.tsx                 | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\FormationBanner.tsx            | TypeScript JSX     |         33 |          0 |          0 |         33 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\HeroBanner.tsx                 | TypeScript JSX     |         32 |          2 |          5 |         39 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ServicesList.tsx               | TypeScript JSX     |         49 |          0 |          5 |         54 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\WhyChooseSection.tsx           | TypeScript JSX     |         48 |          0 |          7 |         55 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\accordion.tsx               | TypeScript JSX     |         49 |          0 |          8 |         57 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\alert-dialog.tsx            | TypeScript JSX     |        126 |          0 |         14 |        140 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\alert.tsx                   | TypeScript JSX     |         53 |          0 |          7 |         60 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\aspect-ratio.tsx            | TypeScript JSX     |          3 |          0 |          3 |          6 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\avatar.tsx                  | TypeScript JSX     |         43 |          0 |          6 |         49 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\badge.tsx                   | TypeScript JSX     |         31 |          0 |          6 |         37 |
