"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 6, 66
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 231, 0, 0, 0, 30, 261
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 326, 0, 0, 2, 36, 364
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 10
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 0, 18, 154
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 18, 199
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 13, 117
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 18, 199
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 25, 177
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 8, 70
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
